"player_value_id","player_id","team_id","market_value","season","rank_in_team","player_name"
4087,475959,14,"75000000.00","2024","5","Josko Gvardiol"
4090,357565,14,"130000000.00","2024","3","Rodri"
4101,406635,14,"140000000.00","2024","2","Phil Foden"
4108,495666,3,"80000000.00","2024","4","William Saliba"
4120,357662,3,"110000000.00","2024","2","Declan Rice"
4122,316264,3,"110000000.00","2024","3","Martin Ødegaard"
4126,433177,3,"150000000.00","2024","1","Bukayo Saka"
4171,648195,8,"75000000.00","2024","3","Enzo Fernández"
4174,568177,8,"130000000.00","2024","1","Cole Palmer"
4181,776890,8,"55000000.00","2024","4","Nicolas Jackson"
4192,557459,13,"55000000.00","2024","4","Micky van de Ven"
4205,294057,13,"60000000.00","2024","3","James Maddison"
4206,431755,13,"60000000.00","2024","2","Dejan Kulusevski"
4210,470607,13,"50000000.00","2024","5","Brennan Johnson"
4233,820374,30,"55000000.00","2024","4","Kobbie Mainoo"
4235,240306,30,"55000000.00","2024","2","Bruno Fernandes"
4237,811779,30,"50000000.00","2024","5","Alejandro Garnacho"
4264,324358,16,"55000000.00","2024","3","Ollie Watkins"
4289,349066,2,"75000000.00","2024","2","Alexander Isak"
4305,973085,10,"35000000.00","2024","3","Carlos Baleba"
4312,504849,10,"45000000.00","2024","2","Kaoru Mitoma"
4318,538977,10,"32000000.00","2024","5","Georginio Rutter"
4323,525247,6,"35000000.00","2024","5","Maximilian Kilman"
4339,543499,6,"50000000.00","2024","1","Mohammed Kudus"
4349,392757,15,"45000000.00","2024","2","Marc Guéhi"
4360,744149,15,"32000000.00","2024","4","Adam Wharton"
4372,340324,15,"25000000.00","2024","5","Eddie Nketiah"
4376,469050,7,"28000000.00","2024","3","Nathan Collins"
4388,319859,7,"25000000.00","2024","5","Mathias Jensen"
4398,388165,7,"28000000.00","2024","2","Yoane Wissa"
4403,1005649,5,"50000000.00","2024","1","Murillo"
4411,375885,5,"28000000.00","2024","4","Ibrahim Sangaré"
4417,429014,5,"40000000.00","2024","2","Morgan Gibbs-White"
4435,578391,31,"35000000.00","2024","3","Rayan Aït-Nouri"
4439,800176,31,"25000000.00","2024","5","André"
4457,659089,17,"38000000.00","2024","1","Ilya Zabarnyi"
4477,711337,17,"35000000.00","2024","2","Evanilson"
4483,661053,4,"42000000.00","2024","1","Jarrad Branthwaite"
4497,584769,4,"25000000.00","2024","3","Dwight McNeil"
4501,306024,4,"22000000.00","2024","4","Dominic Calvert-Lewin"
4502,595809,4,"20000000.00","2024","5","Beto"
4511,349701,11,"28000000.00","2024","3","Antonee Robinson"
4520,392765,11,"32000000.00","2024","1","Emile Smith Rowe"
4522,242631,11,"25000000.00","2024","4","Alex Iwobi"
4535,292808,9,"20000000.00","2024","3","Wout Faes"
4545,274839,9,"18000000.00","2024","4","Wilfred Ndidi"
4550,654982,9,"30000000.00","2024","1","Bilal El Khannouss"
4551,983989,9,"22000000.00","2024","2","Facundo Buonanotte"
4563,503977,12,"25000000.00","2024","1","Taylor Harwood-Bellis"
4573,341051,12,"20000000.00","2024","4","Kyle Walker-Peters"
4585,866655,12,"22000000.00","2024","3","Tyler Dibling"
4598,596446,1,"25000000.00","2024","2","Leif Davis"
4602,351749,1,"20000000.00","2024","5","Kalvin Phillips"
8695,258004,14,"75000000.00","2024","4","Rúben Dias"
8719,418560,14,"200000000.00","2024","1","Erling Haaland"
8743,309400,3,"75000000.00","2024","5","Kai Havertz"
8755,314353,18,"75000000.00","2024","3","Trent Alexander-Arnold"
8760,534033,18,"80000000.00","2024","2","Alexis Mac Allister"
8761,451276,18,"75000000.00","2024","4","Dominik Szoboszlai"
8764,480692,18,"85000000.00","2024","1","Luis Díaz"
8768,546543,18,"65000000.00","2024","5","Darwin Núñez"
8774,614258,8,"55000000.00","2024","5","Levi Colwill"
8784,687626,8,"80000000.00","2024","2","Moisés Caicedo"
8806,355915,13,"65000000.00","2024","1","Cristian Romero"
8834,923831,30,"55000000.00","2024","3","Leny Yoro"
8854,610442,30,"60000000.00","2024","1","Rasmus Højlund"
8858,399776,16,"45000000.00","2024","4","Pau Torres"
8867,485706,16,"55000000.00","2024","2","Amadou Onana"
8874,503743,16,"40000000.00","2024","5","Morgan Rogers"
8875,258923,16,"55000000.00","2024","1","Marcus Rashford"
8885,361093,2,"45000000.00","2024","4","Sven Botman"
8895,520624,2,"80000000.00","2024","1","Bruno Guimarães"
8896,333241,2,"40000000.00","2024","5","Joelinton"
8901,503733,2,"60000000.00","2024","3","Anthony Gordon"
8911,576314,10,"32000000.00","2024","4","Jan Paul van Hecke"
8932,626724,10,"50000000.00","2024","1","João Pedro"
8952,444523,6,"40000000.00","2024","3","Lucas Paquetá"
8955,314875,6,"45000000.00","2024","2","Jarrod Bowen"
8957,648046,6,"40000000.00","2024","4","Evan Ferguson"
8974,543387,15,"35000000.00","2024","3","Cheick Doucouré"
8980,479999,15,"55000000.00","2024","1","Eberechi Eze"
9012,413039,7,"50000000.00","2024","1","Bryan Mbeumo"
9014,739443,7,"25000000.00","2024","4","Igor Thiago"
9019,413507,5,"25000000.00","2024","5","Nikola Milenković"
9027,808509,5,"28000000.00","2024","3","Danilo"
9056,735570,31,"40000000.00","2024","2","João Gomes"
9065,517894,31,"50000000.00","2024","1","Matheus Cunha"
9066,429983,31,"27000000.00","2024","4","Jørgen Strand Larsen"
9073,469781,17,"24000000.00","2024","5","Marcos Senesi"
9078,730861,17,"28000000.00","2024","4","Milos Kerkez"
9090,583255,17,"28000000.00","2024","3","Antoine Semenyo"
9102,404842,4,"28000000.00","2024","2","Vitaliy Mykolenko"
9122,260827,11,"32000000.00","2024","2","Joachim Andersen"
9130,333014,11,"20000000.00","2024","5","Sander Berge"
9155,564529,9,"16000000.00","2024","5","Victor Kristiansen"
9175,427568,12,"20000000.00","2024","5","Aaron Ramsdale"
9191,711999,12,"25000000.00","2024","2","Lesley Ugochukwu"
9222,660867,1,"22000000.00","2024","3","Julio Enciso"
9223,741238,1,"22000000.00","2024","4","Omari Hutchinson"
9231,610849,1,"25000000.00","2024","1","Liam Delap"
