"team_id","team_name","abbreviation"
1,"Ipswich","IPS"
2,"Newcastle","NEW"
3,"Arsenal","ARS"
4,"Everton","EVE"
5,"Nottingham Forest","NFO"
6,"West Ham","WHU"
7,"Brentford","BRE"
8,"Chelsea","CHE"
9,"Leicester","LEI"
10,"Brighton","BHA"
11,"Fulham","FUL"
12,"Southampton","SOU"
13,"Tottenham","TOT"
14,"Manchester City","MCI"
15,"Crystal Palace","CRY"
16,"Aston Villa","AVL"
17,"Bournemouth","BOU"
18,"Liverpool","LIV"
19,"Burnley","BUR"
20,"Luton","LUT"
21,"Sheffield Utd","SHU"
22,"Leeds","LEE"
23,"Norwich","NOR"
24,"West Brom","WBA"
25,"Swansea","SWA"
26,"Stoke City","STK"
27,"Huddersfield","HUD"
28,"Sunderland","SUN"
29,"Watford","WAT"
30,"Manchester United","MUN"
31,"Wolves","WOL"
